Selection_date,Rebalance_date,Bloomberg Symbol,Ticker,Weight,Score
11/08/2016,18/08/2016,GOOGL US Equity,GOOGL,0.03,375.7439024
11/08/2016,18/08/2016,AAPL US Equity,AAPL,0.03,152.7956399
11/08/2016,18/08/2016,VRX US Equity,VRX,0.03,149.4641536
11/08/2016,18/08/2016,TWTR US Equity,TWTR,0.03,137.8371145
11/08/2016,18/08/2016,AA US Equity,AA,0.03,118.7284681
11/08/2016,18/08/2016,DIS US Equity,DIS,0.03,98.48977517
11/08/2016,18/08/2016,TSLA US Equity,TSLA,0.03,89.1344028
11/08/2016,18/08/2016,SIRI US Equity,SIRI,0.03,85.23638911
11/08/2016,18/08/2016,GILD US Equity,GILD,0.03,79.24243521
11/08/2016,18/08/2016,ABBV US Equity,ABBV,0.03,75.2001073
11/08/2016,18/08/2016,FB US Equity,FB,0.03,60.65209509
11/08/2016,18/08/2016,OPK US Equity,OPK,0.03,58.22174964
11/08/2016,18/08/2016,MSFT US Equity,MSFT,0.03,53.09635974
11/08/2016,18/08/2016,CELG US Equity,CELG,0.03,49.80355088
11/08/2016,18/08/2016,INTC US Equity,INTC,0.03,43.56241638
11/08/2016,18/08/2016,S US Equity,S,0.03,41.29948954
11/08/2016,18/08/2016,F US Equity,F,0.03,40.45612454
11/08/2016,18/08/2016,KMI US Equity,KMI,0.03,38.61511179
11/08/2016,18/08/2016,BA US Equity,BA,0.03,32.27173408
11/08/2016,18/08/2016,T US Equity,T,0.0253,26.64623618
11/08/2016,18/08/2016,JNJ US Equity,JNJ,0.0242,25.44804217
11/08/2016,18/08/2016,GE US Equity,GE,0.0228,24.06226635
11/08/2016,18/08/2016,GM US Equity,GM,0.0171,18.00941581
11/08/2016,18/08/2016,MDVN US Equity,MDVN,0.016,16.82021837
11/08/2016,18/08/2016,NKE US Equity,NKE,0.0156,16.41377005
11/08/2016,18/08/2016,BIIB US Equity,BIIB,0.0139,14.69384492
11/08/2016,18/08/2016,CVS US Equity,CVS,0.0136,14.27876798
11/08/2016,18/08/2016,V US Equity,V,0.0126,13.31118938
11/08/2016,18/08/2016,KO US Equity,KO,0.0115,12.1115022
11/08/2016,18/08/2016,PG US Equity,PG,0.0115,12.09677419
11/08/2016,18/08/2016,NVDA US Equity,NVDA,0.0115,12.06788079
11/08/2016,18/08/2016,AMGN US Equity,AMGN,0.0108,11.36792914
11/08/2016,18/08/2016,UPS US Equity,UPS,0.0106,11.14858835
11/08/2016,18/08/2016,BAC US Equity,BAC,0.0097,10.185027
11/08/2016,18/08/2016,IBM US Equity,IBM,0.0095,9.977703456
11/08/2016,18/08/2016,LOW US Equity,LOW,0.0092,9.705882353
11/08/2016,18/08/2016,PFE US Equity,PFE,0.009,9.459572273
11/08/2016,18/08/2016,MRK US Equity,MRK,0.0088,9.226564408
11/08/2016,18/08/2016,ETE US Equity,ETE,0.0087,9.167580101
11/08/2016,18/08/2016,HD US Equity,HD,0.0081,8.535325365
11/08/2016,18/08/2016,C US Equity,C,0.008,8.462634006
11/08/2016,18/08/2016,MO US Equity,MO,0.008,8.433575171
11/08/2016,18/08/2016,BMY US Equity,BMY,0.008,8.431459735
11/08/2016,18/08/2016,SWKS US Equity,SWKS,0.0077,8.129873551
11/08/2016,18/08/2016,ORCL US Equity,ORCL,0.0077,8.086367772
11/08/2016,18/08/2016,LNG US Equity,LNG,0.0068,7.159855769
11/08/2016,18/08/2016,UTX US Equity,UTX,0.0067,7.039372641
11/08/2016,18/08/2016,DVN US Equity,DVN,0.0063,6.67264574
11/08/2016,18/08/2016,CSCO US Equity,CSCO,0.0059,6.225201179
11/08/2016,18/08/2016,MCD US Equity,MCD,0.0051,5.415444505
11/08/2016,18/08/2016,MNK US Equity,MNK,0.0051,5.390499692
11/08/2016,18/08/2016,WMB US Equity,WMB,0.0051,5.36970339
11/08/2016,18/08/2016,WFC US Equity,WFC,0.0049,5.17231928
11/08/2016,18/08/2016,SLB US Equity,SLB,0.0048,5.095658496
11/08/2016,18/08/2016,REGN US Equity,REGN,0.0048,5.076327434
11/08/2016,18/08/2016,CMCSA US Equity,CMCSA,0.0048,5.011259512
11/08/2016,18/08/2016,JPM US Equity,JPM,0.0044,4.669459244
11/08/2016,18/08/2016,HPQ US Equity,HPQ,0.0044,4.665153564
11/08/2016,18/08/2016,FTR US Equity,FTR,0.0044,4.587610619
11/08/2016,18/08/2016,VZ US Equity,VZ,0.0043,4.551139359
11/08/2016,18/08/2016,JBLU US Equity,JBLU,0.0035,3.68575419
11/08/2016,18/08/2016,LVS US Equity,LVS,0.0034,3.606574761
11/08/2016,18/08/2016,DAL US Equity,DAL,0.0029,3.047682472
11/08/2016,18/08/2016,MS US Equity,MS,0.0025,2.596938776
11/08/2016,18/08/2016,MRO US Equity,MRO,0.0024,2.54109589
11/08/2016,18/08/2016,HLF US Equity,HLF,0.0024,2.50667334
11/08/2016,18/08/2016,WDC US Equity,WDC,0.0024,2.48655914
11/08/2016,18/08/2016,GLW US Equity,GLW,0.0023,2.475165563
11/08/2016,18/08/2016,AIG US Equity,AIG,0.0023,2.427823409
11/08/2016,18/08/2016,PCLN US Equity,PCLN,0.0017,1.770803849
11/08/2016,18/08/2016,BX US Equity,BX,0.0016,1.688673876
11/08/2016,18/08/2016,SWN US Equity,SWN,0.0015,1.561262376
11/08/2016,18/08/2016,WYNN US Equity,WYNN,0.0014,1.505494505
11/08/2016,18/08/2016,VLO US Equity,VLO,0.0013,1.421509686
11/08/2016,18/08/2016,M US Equity,M,0.0013,1.382983794
08/09/2016,15/09/2016,GOOGL US Equity,GOOGL,0.03,379.0264512
08/09/2016,15/09/2016,AAPL US Equity,AAPL,0.03,184.491238
08/09/2016,15/09/2016,MSFT US Equity,MSFT,0.03,102.3630809
08/09/2016,15/09/2016,DIS US Equity,DIS,0.03,98.32863079
08/09/2016,15/09/2016,ABBV US Equity,ABBV,0.03,77.51091925
08/09/2016,15/09/2016,GILD US Equity,GILD,0.03,69.18955192
08/09/2016,15/09/2016,AA US Equity,AA,0.03,57.65553308
08/09/2016,15/09/2016,TWTR US Equity,TWTR,0.03,48.18704406
08/09/2016,15/09/2016,CELG US Equity,CELG,0.03,46.30295362
08/09/2016,15/09/2016,FB US Equity,FB,0.03,40.42063133
08/09/2016,15/09/2016,INTC US Equity,INTC,0.03,35.45995446
08/09/2016,15/09/2016,ORCL US Equity,ORCL,0.03,31.74382754
08/09/2016,15/09/2016,OPK US Equity,OPK,0.0285,28.32664666
08/09/2016,15/09/2016,JNJ US Equity,JNJ,0.0271,26.96579333
08/09/2016,15/09/2016,KMI US Equity,KMI,0.0271,26.9536699
08/09/2016,15/09/2016,VRX US Equity,VRX,0.0268,26.68016048
08/09/2016,15/09/2016,SIRI US Equity,SIRI,0.0229,22.82183866
08/09/2016,15/09/2016,F US Equity,F,0.0212,21.10093892
08/09/2016,15/09/2016,SLB US Equity,SLB,0.021,20.87937343
08/09/2016,15/09/2016,KO US Equity,KO,0.0175,17.42849284
08/09/2016,15/09/2016,MO US Equity,MO,0.0173,17.22427404
08/09/2016,15/09/2016,CVS US Equity,CVS,0.0167,16.6262574
08/09/2016,15/09/2016,BA US Equity,BA,0.0164,16.34336283
08/09/2016,15/09/2016,BIIB US Equity,BIIB,0.0155,15.42637323
08/09/2016,15/09/2016,PG US Equity,PG,0.0145,14.39757575
08/09/2016,15/09/2016,AMGN US Equity,AMGN,0.0142,14.09159621
08/09/2016,15/09/2016,IBM US Equity,IBM,0.0141,14.00542409
08/09/2016,15/09/2016,UA US Equity,UA,0.013,12.95316428
08/09/2016,15/09/2016,UPS US Equity,UPS,0.0125,12.4664491
08/09/2016,15/09/2016,GE US Equity,GE,0.0122,12.12503567
08/09/2016,15/09/2016,V US Equity,V,0.0121,12.07630697
08/09/2016,15/09/2016,TSLA US Equity,TSLA,0.0117,11.63663819
08/09/2016,15/09/2016,T US Equity,T,0.0114,11.37181378
08/09/2016,15/09/2016,QCOM US Equity,QCOM,0.0113,11.28070247
08/09/2016,15/09/2016,QRVO US Equity,QRVO,0.0107,10.60322112
08/09/2016,15/09/2016,SBUX US Equity,SBUX,0.0101,10.05670116
08/09/2016,15/09/2016,HD US Equity,HD,0.0097,9.644261952
08/09/2016,15/09/2016,UTX US Equity,UTX,0.0096,9.526256133
08/09/2016,15/09/2016,MRK US Equity,MRK,0.0094,9.365509006
08/09/2016,15/09/2016,S US Equity,S,0.0094,9.328460927
08/09/2016,15/09/2016,ETE US Equity,ETE,0.0091,9.044170295
08/09/2016,15/09/2016,BMY US Equity,BMY,0.009,8.99757177
08/09/2016,15/09/2016,PFE US Equity,PFE,0.0087,8.609590614
08/09/2016,15/09/2016,JBLU US Equity,JBLU,0.0083,8.259341172
08/09/2016,15/09/2016,VZ US Equity,VZ,0.0082,8.200949434
08/09/2016,15/09/2016,MCD US Equity,MCD,0.008,7.981348525
08/09/2016,15/09/2016,LVS US Equity,LVS,0.0077,7.693010355
08/09/2016,15/09/2016,C US Equity,C,0.0073,7.24900163
08/09/2016,15/09/2016,GLW US Equity,GLW,0.007,6.940124454
08/09/2016,15/09/2016,JPM US Equity,JPM,0.0069,6.853860136
08/09/2016,15/09/2016,LOW US Equity,LOW,0.0067,6.700557093
08/09/2016,15/09/2016,CSCO US Equity,CSCO,0.0066,6.583652685
08/09/2016,15/09/2016,CMCSA US Equity,CMCSA,0.0065,6.509909142
08/09/2016,15/09/2016,WFC US Equity,WFC,0.0064,6.3286121
08/09/2016,15/09/2016,BAC US Equity,BAC,0.0062,6.17802367
08/09/2016,15/09/2016,GM US Equity,GM,0.006,5.969438204
08/09/2016,15/09/2016,COP US Equity,COP,0.0055,5.450599741
08/09/2016,15/09/2016,XOM US Equity,XOM,0.0055,5.447675325
08/09/2016,15/09/2016,DVN US Equity,DVN,0.0054,5.41321932
08/09/2016,15/09/2016,SWKS US Equity,SWKS,0.0054,5.408814662
08/09/2016,15/09/2016,FCX US Equity,FCX,0.0045,4.505896008
08/09/2016,15/09/2016,FTR US Equity,FTR,0.0045,4.476877701
08/09/2016,15/09/2016,MNK US Equity,MNK,0.004,4.004509831
08/09/2016,15/09/2016,AIG US Equity,AIG,0.0039,3.908579489
08/09/2016,15/09/2016,PYPL US Equity,PYPL,0.0039,3.898238836
08/09/2016,15/09/2016,LUV US Equity,LUV,0.0039,3.845306415
08/09/2016,15/09/2016,COST US Equity,COST,0.0038,3.752211109
08/09/2016,15/09/2016,UAL US Equity,UAL,0.0036,3.602424123
08/09/2016,15/09/2016,VLO US Equity,VLO,0.0036,3.58987024
08/09/2016,15/09/2016,SWN US Equity,SWN,0.0035,3.438993388
08/09/2016,15/09/2016,M US Equity,M,0.0034,3.385030274
08/09/2016,15/09/2016,WDC US Equity,WDC,0.0033,3.265996184
08/09/2016,15/09/2016,KR US Equity,KR,0.0032,3.232024908
08/09/2016,15/09/2016,ATVI US Equity,ATVI,0.0032,3.224684166
08/09/2016,15/09/2016,BX US Equity,BX,0.003,2.945142592
13/10/2016,20/10/2016,AMD US Equity,AMD,0.03,823.6104077
13/10/2016,20/10/2016,AAPL US Equity,AAPL,0.03,790.8730496
13/10/2016,20/10/2016,TWTR US Equity,TWTR,0.03,676.459518
13/10/2016,20/10/2016,GOOGL US Equity,GOOGL,0.03,434.5445545
13/10/2016,20/10/2016,FB US Equity,FB,0.03,266.6578386
13/10/2016,20/10/2016,TSLA US Equity,TSLA,0.03,198.0162377
13/10/2016,20/10/2016,MON US Equity,MON,0.03,173.1865316
13/10/2016,20/10/2016,VRX US Equity,VRX,0.03,147.0961924
13/10/2016,20/10/2016,DIS US Equity,DIS,0.03,147.0849259
13/10/2016,20/10/2016,AMZN US Equity,AMZN,0.03,129.3127871
13/10/2016,20/10/2016,BMY US Equity,BMY,0.03,124.1387718
13/10/2016,20/10/2016,GILD US Equity,GILD,0.03,120.1774493
13/10/2016,20/10/2016,MSFT US Equity,MSFT,0.03,111.1461126
13/10/2016,20/10/2016,ABBV US Equity,ABBV,0.0296,83.64409031
13/10/2016,20/10/2016,NVDA US Equity,NVDA,0.028,79.24157303
13/10/2016,20/10/2016,CELG US Equity,CELG,0.0247,69.82252339
13/10/2016,20/10/2016,WYNN US Equity,WYNN,0.022,62.07680251
13/10/2016,20/10/2016,INTC US Equity,INTC,0.0217,61.34834123
13/10/2016,20/10/2016,JBLU US Equity,JBLU,0.0212,59.906639
13/10/2016,20/10/2016,NKE US Equity,NKE,0.0204,57.55353326
13/10/2016,20/10/2016,LUV US Equity,LUV,0.0194,54.9231315
13/10/2016,20/10/2016,CRM US Equity,CRM,0.0176,49.74396239
13/10/2016,20/10/2016,ETE US Equity,ETE,0.0149,42.15536375
13/10/2016,20/10/2016,MU US Equity,MU,0.0142,40.04278075
13/10/2016,20/10/2016,FCX US Equity,FCX,0.0141,39.93898896
13/10/2016,20/10/2016,OPK US Equity,OPK,0.0127,35.95284594
13/10/2016,20/10/2016,MGM US Equity,MGM,0.0126,35.69670543
13/10/2016,20/10/2016,SBUX US Equity,SBUX,0.0126,35.56472919
13/10/2016,20/10/2016,MO US Equity,MO,0.0126,35.56032078
13/10/2016,20/10/2016,UA US Equity,UA,0.0123,34.79069767
13/10/2016,20/10/2016,JNJ US Equity,JNJ,0.012,34.04455329
13/10/2016,20/10/2016,BIIB US Equity,BIIB,0.0114,32.25954198
13/10/2016,20/10/2016,S US Equity,S,0.0106,29.90543719
13/10/2016,20/10/2016,AMGN US Equity,AMGN,0.0102,28.80467091
13/10/2016,20/10/2016,SWKS US Equity,SWKS,0.0095,26.7833698
13/10/2016,20/10/2016,PYPL US Equity,PYPL,0.0088,24.87009804
13/10/2016,20/10/2016,PG US Equity,PG,0.0087,24.67760126
13/10/2016,20/10/2016,PFE US Equity,PFE,0.0087,24.62364348
13/10/2016,20/10/2016,GE US Equity,GE,0.0081,22.96280211
13/10/2016,20/10/2016,T US Equity,T,0.0081,22.78341581
13/10/2016,20/10/2016,HD US Equity,HD,0.008,22.6401435
13/10/2016,20/10/2016,KMI US Equity,KMI,0.0079,22.21288523
13/10/2016,20/10/2016,AGN US Equity,AGN,0.0078,22.14354761
13/10/2016,20/10/2016,F US Equity,F,0.0078,21.94712352
13/10/2016,20/10/2016,LMT US Equity,LMT,0.0077,21.82302867
13/10/2016,20/10/2016,MRK US Equity,MRK,0.0077,21.71556447
13/10/2016,20/10/2016,DVN US Equity,DVN,0.0072,20.32608696
13/10/2016,20/10/2016,CVS US Equity,CVS,0.0072,20.29964477
13/10/2016,20/10/2016,PCLN US Equity,PCLN,0.0071,20.13907507
13/10/2016,20/10/2016,ATVI US Equity,ATVI,0.0071,20.00874126
13/10/2016,20/10/2016,BA US Equity,BA,0.007,19.78809199
13/10/2016,20/10/2016,MRO US Equity,MRO,0.0068,19.27282158
13/10/2016,20/10/2016,BAC US Equity,BAC,0.0068,19.12463596
13/10/2016,20/10/2016,V US Equity,V,0.0066,18.54830573
13/10/2016,20/10/2016,WMB US Equity,WMB,0.0065,18.3013544
13/10/2016,20/10/2016,LVS US Equity,LVS,0.0063,17.7548913
13/10/2016,20/10/2016,QCOM US Equity,QCOM,0.0062,17.44158832
13/10/2016,20/10/2016,DAL US Equity,DAL,0.0062,17.40439771
13/10/2016,20/10/2016,IBM US Equity,IBM,0.0061,17.30315995
13/10/2016,20/10/2016,WMT US Equity,WMT,0.006,17.10608394
13/10/2016,20/10/2016,VZ US Equity,VZ,0.0057,16.0970894
13/10/2016,20/10/2016,KO US Equity,KO,0.0057,16.07952425
13/10/2016,20/10/2016,ULTA US Equity,ULTA,0.0052,14.61538462
13/10/2016,20/10/2016,XOM US Equity,XOM,0.0044,12.55481974
13/10/2016,20/10/2016,SLB US Equity,SLB,0.0044,12.34368734
13/10/2016,20/10/2016,WDC US Equity,WDC,0.0044,12.31458967
13/10/2016,20/10/2016,KR US Equity,KR,0.0043,12.17824601
13/10/2016,20/10/2016,MCD US Equity,MCD,0.0043,12.13984582
13/10/2016,20/10/2016,AA US Equity,AA,0.0042,11.95620438
13/10/2016,20/10/2016,C US Equity,C,0.0042,11.74209611
13/10/2016,20/10/2016,WFM US Equity,WFM,0.0039,11.06186967
13/10/2016,20/10/2016,MNK US Equity,MNK,0.0039,10.95203488
13/10/2016,20/10/2016,JPM US Equity,JPM,0.0038,10.85991828
13/10/2016,20/10/2016,COST US Equity,COST,0.0027,7.580060423
13/10/2016,20/10/2016,COP US Equity,COP,0.0027,7.56445993
10/11/2016,17/11/2016,AMD US Equity,AMD,0.03,1271.475053
10/11/2016,17/11/2016,GOOGL US Equity,GOOGL,0.03,428.5280289
10/11/2016,17/11/2016,TWTR US Equity,TWTR,0.03,413.2093078
10/11/2016,17/11/2016,AAPL US Equity,AAPL,0.03,378.0383459
10/11/2016,17/11/2016,FB US Equity,FB,0.03,272.8147525
10/11/2016,17/11/2016,MSFT US Equity,MSFT,0.03,174.2658827
10/11/2016,17/11/2016,DIS US Equity,DIS,0.03,170.4303316
10/11/2016,17/11/2016,TSLA US Equity,TSLA,0.03,157.9750794
10/11/2016,17/11/2016,AMZN US Equity,AMZN,0.03,141.0120049
10/11/2016,17/11/2016,NVDA US Equity,NVDA,0.03,135.2716873
10/11/2016,17/11/2016,UA US Equity,UA,0.03,130.7365795
10/11/2016,17/11/2016,GILD US Equity,GILD,0.03,129.2811274
10/11/2016,17/11/2016,VRX US Equity,VRX,0.03,118.2806258
10/11/2016,17/11/2016,BMY US Equity,BMY,0.03,93.79161273
10/11/2016,17/11/2016,ABBV US Equity,ABBV,0.03,90.96873239
