Daily Holdings (%)  12/15/2025,,,,,,,,
,,,,,,,,
Number,Ticker,Holding Name,Identifier (FIGI),Shares,Asset Class,Market Value (US$),Notional Value,% of Net Assets
1,TSLA US,Tesla Inc,BBG000N9MNX3,"8,007",Stock,"$3,805,807.17",--,3.61%
2,ASTS US,Ast Spacemobile Inc,BBG00Q402TR2,"52,483",Stock,"$3,558,872.23",--,3.38%
3,PLTR US,Palantir Technologies Inc,BBG000N7QR55,"18,692",Stock,"$3,425,309.00",--,3.25%
4,META US,Meta Platforms Inc,BBG000MM2P62,"5,289",Stock,"$3,424,680.39",--,3.25%
5,GME US,Gamestop Corp,BBG000BB5BF6,"153,841",Stock,"$3,398,347.69",--,3.22%
6,INTC US,Intel Corp,BBG000C0G1D1,"89,794",Stock,"$3,368,172.94",--,3.20%
7,APLD US,Applied Digital Corp,BBG000DSJYS8,"139,835",Stock,"$3,213,408.30",--,3.05%
8,NVDA US,Nvidia Corp,BBG000BBJQV0,"17,218",Stock,"$3,035,361.22",--,2.88%
9,AMZN US,Amazon.Com Inc,BBG000BVPV84,"13,569",Stock,"$3,019,645.26",--,2.86%
10,RGTI US,Rigetti Computing Inc,BBG00Z911S16,"127,957",Stock,"$3,010,828.21",--,2.86%
11,NBIS US,Yandex Nv,BBG001NVJ6W4,"36,382",Stock,"$2,952,035.48",--,2.80%
12,SOFI US,Sofi Technologies Inc,BBG00YB1ZD58,"113,580",Stock,"$2,932,635.60",--,2.78%
13,AMD US,Advanced Micro Devices Inc,BBG000BBQCY0,"12,972",Stock,"$2,692,727.76",--,2.55%
14,HOOD US,Robinhood Markets Inc,BBG008NMBXN8,"22,973",Stock,"$2,647,867.98",--,2.51%
15,MSTR US,Strategy Inc,BBG000GQJPZ0,"15,462",Stock,"$2,506,080.96",--,2.38%
16,OPEN US,Opendoor Technologies Inc,BBG00SHY8ZQ1,"375,784",Stock,"$2,431,322.48",--,2.31%
17,IREN US,Iren Ltd,BBG010J28KQ2,"66,281",Stock,"$2,351,649.88",--,2.23%
18,GOOGL US,Alphabet Inc,BBG009S39JX6,"7,439",Stock,"$2,292,848.58",--,2.18%
19,HIMS US,Hims & Hers Health Inc,BBG00Q53VYM7,"62,344",Stock,"$2,259,970.00",--,2.14%
20,UNH US,Unitedhealth Group Inc,BBG000CH5208,"6,551",Stock,"$2,234,546.10",--,2.12%
21,AAPL US,Apple Inc,BBG000B9XRY4,"7,768",Stock,"$2,129,286.48",--,2.02%
